OMEGAWIKI	FGLOSS	SEEALSO	GLOSS	SEMANTICFIELD	DEFINITION	POS	WOLD
876531	saw	-	SAW	Basic actions and technology	A tool with a toothed blade used for cutting hard substances, in particular wood or metal.	Noun	9.48
5807	scissors	-	SCISSORS	Basic actions and technology	A tool used for cutting thin material, consisting of two crossing blades attached at a pivot point in such a way that the blades slide across each other when the handles are closed.	Noun	9.24
388881	sculptor	-	SCULPTOR	Basic actions and technology	a person who practices the art of sculpture.	Noun	9.82
1503230	sharpen	-	SHARPEN SOMETHING	Basic actions and technology	To make sharp or sharper.	Verb	-
1503230	something	-	SHARPEN SOMETHING	Basic actions and technology	To make sharp or sharper.	Verb	-
1510945	shears	-	SHEARS	Basic actions and technology	A tool consisting of two blades with bevel edges, connected by a pivot, used for cutting cloth, or for removing the fleece from sheep etc	Noun	9.24
3424	silver	-	SILVER	Basic actions and technology	A very ductile malleable brilliant greyish-white element with symbol Ar and atomic number 47 having the highest electrical and thermal conductivity of any metal.	Noun	9.65
1542724	snapp	-	SNAPP OF STICK	Basic actions and technology	Quick breaking or cracking sound or the action of producing such a sound.	Verb	-
1542724	of	-	SNAPP OF STICK	Basic actions and technology	Quick breaking or cracking sound or the action of producing such a sound.	Verb	-
1542724	stick	-	SNAPP OF STICK	Basic actions and technology	Quick breaking or cracking sound or the action of producing such a sound.	Verb	-
6048	split	-	SPLIT	Basic actions and technology	To divide fully or partly along a more or less straight line.	Verb	9.27
1083572	spread	-	SPREAD OUT	Basic actions and technology	To spread out or open from a closed or folded state.	Verb	9.34
1083572	out	-	SPREAD OUT	Basic actions and technology	To spread out or open from a closed or folded state.	Verb	9.34
355939	endure	-	ENDURE	Basic actions and technology	To allow (something that one dislikes or disagrees with) to continue to exist or occur without interference; accept or undergo, often unwillingly.	Verb	-
1539269	get	-	GET LOST	Basic actions and technology	To end up in an unknown place, to be not to be found again, to get lost, to irrecoverably slip away.	Verb	-
1539269	lost	-	GET LOST	Basic actions and technology	To end up in an unknown place, to be not to be found again, to get lost, to irrecoverably slip away.	Verb	-
486067	accustom	-	ACCUSTOM	Basic actions and technology	Avoir l'habitude.	Verb	-
6017	squeeze	441998;441891	SQUEEZE	Basic actions and technology	To apply pressure to something from two or more sides at once.	Verb	9343
6045	stab	-	STAB	Basic actions and technology	To pierce or to wound with a pointed tool or weapon, especially a knife or dagger.	Verb	9223
430779	statue	-	STATUE	Basic actions and technology	A three-dimension work of art, usually of a person or animal, usually created by sculpting, carving, moulding, or casting.	Noun	9.83
1425791	stretch	1425788	STRETCH	Basic actions and technology	To lengthen by pulling.	Verb	9.32
1510934	strike	-	STRIKE	Basic actions and technology	To hit against something.	Verb	9.21
1466959	sweep	-	SWEEP	Basic actions and technology	To clean a surface with a broom.	Verb	9.37
6454	swell	-	SWELL	Basic actions and technology	To grow larger in volume.	Verb	-
704859	tear	-	TEAR, SHRED	Basic actions and technology	A tug given with force in order to remove something.	Verb	9.28
704859	shred	-	TEAR, SHRED	Basic actions and technology	A tug given with force in order to remove something.	Verb	9.28
844574	tie	6453	TIE	Basic actions and technology	To establish connection between two or more things.	Verb	9.16
3780	tin	-	TIN, CHEMICAL ELEMENT	Basic actions and technology	A metallic element with symbol Sn, occurring in cassiterite. It is a malleable silvery-white metal.	Noun	9.69
3780	chemical	-	TIN, CHEMICAL ELEMENT	Basic actions and technology	A metallic element with symbol Sn, occurring in cassiterite. It is a malleable silvery-white metal.	Noun	9.69
3780	element	-	TIN, CHEMICAL ELEMENT	Basic actions and technology	A metallic element with symbol Sn, occurring in cassiterite. It is a malleable silvery-white metal.	Noun	9.69
1510953	tinplate	-	TINPLATE	Basic actions and technology	A thin sheet of steel coated with tin to prevent rusting; used to make cans etc.	Noun	9.69
5894	tool	-	TOOL	Basic actions and technology	A mechanical device intended to make a task easier.	Noun	9422
1507435	tumpline	-	TUMPLINE	Basic actions and technology	A strap slung over the forehead or chest used (especially by native Americans) for carrying packs or loads	Noun	9.92
480525	uncover	-	UNCOVER	Basic actions and technology	To uncover; to show and display that which was hidden.	Verb	-
1510931	untie	-	UNTIE	Basic actions and technology	To loosen, as something interlaced or knotted; to disengage the parts of. To unbind, to free from restraint	Verb	9161
6069	wash	-	WASH	Basic actions and technology	To remove dirt and grime from an object, using water (usually with soap).	Verb	9.36
1507439	whetstone	-	WHETSTONE	Basic actions and technology	Before cutting the meat, he sharpened his knife with a whetstone.	Noun	9.93
6070	wipe	-	WIPE	Basic actions and technology	To move an object or utensil over a surface or other object while maintaining contact, in order that a substance be removed from its surface.	Verb	9311
471303	work	1507122	WORK, ACTIVITY	Basic actions and technology	To do a specific task by employing physical or mental powers.	Verb	-
471303	activity	1507122	WORK, ACTIVITY	Basic actions and technology	To do a specific task by employing physical or mental powers.	Verb	-
4228	work	-	WORK, CRAFT	Basic actions and technology	Productive activity, service, trade, or craft for which one is regularly paid.	Noun	9.12
4228	craft	-	WORK, CRAFT	Basic actions and technology	Productive activity, service, trade, or craft for which one is regularly paid.	Noun	9.12
419859	be	-	BE ABLE	Basic actions and technology	To have the ability to do something	Verb	-
419859	able	-	BE ABLE	Basic actions and technology	To have the ability to do something	Verb	-
756816	adornment	-	ADORNMENT	Clothing and grooming	Something that beautifies or adorns.	Noun	6.71
1505847	awl	-	AWL	Clothing and grooming	Pointed tool for marking or piercing wood or leather.	Noun	6.37
799152	bead	-	BEAD	Clothing and grooming	A hard, rounded object produced within the soft tissue (specifically the mantle) of a living shelled mollusk.	Noun	6.76
344311	belt	-	BELT	Clothing and grooming	A clothing accessory, usually made of leather or heavy cloth, worn around the waist and used to support trousers or other articles of clothing.	Noun	6.57
159566	boot	-	BOOT	Clothing and grooming	A shoe that covers part of the leg.	Noun	6.52
1543020	boubou	-	BOUBOU	Clothing and grooming	a flowing wide sleeved robe worn by men in much of West Africa, and to a lesser extent in North Africa.	Noun	-
710484	bracelet	-	BRACELET	Clothing and grooming	Piece of jewellery worn around the wrist.	Noun	6.74
447700	braid	-	BRAID	Clothing and grooming	a hair style formed by interweaving three or more strands of hair.	Noun	6921
7562	brush	-	BRUSH	Clothing and grooming	An implement with a handle, and a head with multiple more or less flexible bristles, used for arranging hair.	Noun	6.92
342095	button	342118	BUTTON	Clothing and grooming	A fastener consisting of a knob or disc that is passed through a slit in the adjacent material.	Noun	6.62
5641	cap	-	CAP	Clothing and grooming	A usually soft and close-fitting head covering, either having no brim or with a visor.	Noun	6.55
1510537	cloak	-	CLOAK	Clothing and grooming	A long outer garment worn over the shoulders covering the back; a cape, often with a hood.	Noun	6.41
6620	cloth	-	CLOTH	Clothing and grooming	A woven fabric such as used in dressing, decorating, cleaning or other practical use.	Noun	6.21
8254	clothes	621	CLOTHES	Clothing and grooming	All coverings designed to be worn on a person's body.	Noun	6.12
161851	coat	-	COAT	Clothing and grooming	An outer garment covering the upper torso and arms.	Noun	6.43
971440	collar	-	COLLAR	Clothing and grooming	The part of a garment that encircles the neck.	Noun	6.45
6157	comb	-	COMB	Clothing and grooming	A toothed implement for grooming the hair.	Noun	6.91
781	cotton	-	COTTON	Clothing and grooming	Fiber obtained from plants of the genus Gossypium, used in making fabrics, cordage, and padding and for producing artificial fibers and cellulose.	Noun	6.24
1542267	cushma	-	CUSHMA	Clothing and grooming	a one-piece dress used by the Ashaninka Indians.	Noun	-
154560	dress	-	DRESS	Clothing and grooming	A one-piece garment for a woman that has a skirt and a body section.	Noun	6.42
351289	dress	-	DRESS UP	Clothing and grooming	To clothe oneself; to put on clothes.	Verb	-
351289	up	-	DRESS UP	Clothing and grooming	To clothe oneself; to put on clothes.	Verb	-
1335255	dye	-	DYE	Clothing and grooming	To modify the color of something by applying dye.	Verb	6.39
344234	earring	1033487	EARRING	Clothing and grooming	A piece of jewelry worn on the ear.	Noun	6.77
1510534	felt	-	FELT	Clothing and grooming	A cloth or stuff made of matted fibres of wool, or wool and fur, fulled or wrought into a compact substance by rolling and pressure, with lees or size, without spinning or weaving.	Noun	6.27
1590	fur	-	FUR	Clothing and grooming	The hair-covered, dressed pelt of a mammal, used in the making of garments and as trimming or decoration.	Noun	6.28
1543622	gstring	-	G-STRING	Clothing and grooming	A thong underwear or swimsuit, a narrow piece of cloth, leather, or plastic, that covers or holds the genitals, passes between the buttocks, and is attached to a band around the hips.	Noun	-
369021	glove	-	GLOVE	Clothing and grooming	A garment for a hand, often extending to the wrist and sometimes up to the elbow, which either covers each finger individually, or separates the thumb from the other fingers.	Noun	6.58
1510547	grassskirt	-	GRASS-SKIRT	Clothing and grooming	A skirt made from long dried grass, or synthetic material resembling it.	Noun	6461
436343	handkerchief	-	HANDKERCHIEF	Clothing and grooming	A piece of cloth, usually square and often fine and elegant, carried for wiping the face, nose or hands.	Noun	6.81
344283	hat	-	HAT	Clothing and grooming	An item of clothing intended to cover the head made from material hard enough to have a shape independant of the skull, and most commonly with a rim.	Noun	6.55
1510556	headband	-	HEADBAND	Clothing and grooming	A strip of fabric worn around the head or a hair-accessory, made of a flexible material and curved like a horseshoe, for holding one's hair back.	Noun	6.78
1510560	headdress	-	HEADDRESS	Clothing and grooming	A decorative covering or ornament worn on the head.	Noun	6.78
441479	jewel	441485	JEWEL	Clothing and grooming	A precious stone such as a diamond, a sapphire or an agate.	Noun	6.72
2126	leather	-	LEATHER	Clothing and grooming	The dressed or tanned hide of an animal, usually with the hair removed.	Noun	6.29
389134	linen	-	LINEN	Clothing and grooming	A material made from the fibers of the flax plant.	Noun	6.23
907107	loincloth	-	LOINCLOTH	Clothing and grooming	A cloth worn to cover the loins.	Noun	-
7280	loom	-	LOOM	Clothing and grooming	A frame or machine (made of wood or other material) in which a weaver forms cloth out of thread; a machine for interweaving yarn or threads into a fabric.	Noun	6.34
962485	mask	-	MASK	Clothing and grooming	A cover, or partial cover, for the face, used for disguise or protection.	Noun	-
520838	mirror	7472	MIRROR	Clothing and grooming	A smooth surface, usually made of glass with reflective material painted on the underside, that reflects light so as to give an image of what is in front of it.	Noun	6.96
900585	necklace	-	NECKLACE	Clothing and grooming	An article of jewelry that is worn around the neck.	Noun	6.75
5951	needle	337519	NEEDLE FOR SEWING	Clothing and grooming	A thin, sharp implement used in sewing, knitting and acupuncture.	Noun	6.36
5951	for	337519	NEEDLE FOR SEWING	Clothing and grooming	A thin, sharp implement used in sewing, knitting and acupuncture.	Noun	6.36
5951	sewing	337519	NEEDLE FOR SEWING	Clothing and grooming	A thin, sharp implement used in sewing, knitting and acupuncture.	Noun	6.36
848858	ointment	-	OINTMENT	Clothing and grooming	A semisolid preparation intended for external application to the skin or mucous membranes. (source: UMLS)	Noun	6.94
391992	ornament	-	ORNAMENT	Clothing and grooming	An element of decoration.	Noun	6.71
1116679	pin	-	PIN	Clothing and grooming	A small device, made (usually) of drawn-out steel wire with one end sharpened and the other flattened or rounded into a head, used for fastening.	Noun	6.63
1510567	plait	1510570	PLAIT	Clothing and grooming	A flat fold; a doubling, as of cloth; a pleat.	Noun	6921
7816	pocket	-	POCKET	Clothing and grooming	A kind of pouch, which is accessible by an opening in an article of clothing and serves for storage; usually large enough in order to accommodate at least one hand.	Noun	6.61
1510543	poncho	-	PONCHO	Clothing and grooming	A simple garment, made from a rectangle of cloth, with a slit in the middle for the head.	Noun	6411
1335540	put	-	PUT ON	Clothing and grooming	to move or place (anything) so as to get it into or out of a specific location or position.	Verb	6.11
1335540	on	-	PUT ON	Clothing and grooming	to move or place (anything) so as to get it into or out of a specific location or position.	Verb	6.11
1510563	rag	-	RAG	Clothing and grooming	A piece of old cloth; a tattered piece of cloth; a shred, a tatter.	Noun	6.81
1318581	razor	-	RAZOR	Clothing and grooming	A bladed tool used for the removal of body hair through the act of shaving.	Noun	6.93
5931	ring	-	RING	Clothing and grooming	A round piece of (precious) metal worn around the finger.	Noun	6.73
6073	sew	-	SEW	Clothing and grooming	To pass thread repeatedly through fabric or a material, using a needle, in order to join two or more parts or to make a pattern or motif.	Verb	6.35
6654	shirt	-	SHIRT	Clothing and grooming	An article of clothing that is worn on the upper part of the body, and often has sleeves, either long or short, that cover the arms.	Noun	6.44
5948	shoe	-	SHOE	Clothing and grooming	A protective covering for the foot, with a bottom part composed of thick leather or plastic sole and often a thicker heel, and a softer upper part made of leather or synthetic material. Shoes generally do not extend above the ankle, as opposed to boots, which do.	Noun	6.51
372056	shoemaker	-	SHOEMAKER	Clothing and grooming	A person whose profession is making and repairing footwear.	Noun	6.54
673408	silk	-	SILK	Clothing and grooming	One of the finest textiles, obtained from cocoons of certain species of caterpillars; it is soft, very strong and absorbent and has a brilliant sheen.	Noun	6.25
6552	skirt	-	SKIRT	Clothing and grooming	An article of clothing, usually worn by women and girls, that hangs from the waist and covers the lower part of the body.	Noun	6.46
1478056	snowshoe	-	SNOWSHOE	Clothing and grooming	Footwear for walking over the snow.	Noun	6.98
3458	soap	-	SOAP	Clothing and grooming	A cleansing agent, manufactured in bars, granules, flakes, or liquid form, made from a mixture of the sodium salts of various fatty acids of natural oils and fats.	Noun	6.95
6327	sock	-	SOCK	Clothing and grooming	A knitted or woven covering for the foot, reaching no higher than just above the ankle.	Noun	6.49
1240334	spin	-	SPIN	Clothing and grooming	to make (yarn) by drawing out, twisting, and winding fibers.	Verb	6.31
1505839	spindle	-	SPINDLE	Clothing and grooming	A stick used in spinning fiber into thread.	Noun	6.32
1510550	stocking	-	STOCKING	Clothing and grooming	A soft garment worn on the foot and lower leg, usually knit or woven, worn under shoes or other footwear.	Noun	6.49
374399	tailor	-	TAILOR	Clothing and grooming	Someone who professionally manufactures clothing.	Noun	6.13
1130256	tattoo	-	TATTOO	Clothing and grooming	A marking made by inserting ink into the layers of skin to change the pigment permanently for decorative or other reasons.	Noun	6.79
515580	thread	-	THREAD	Clothing and grooming	A long, thin and flexible form of material, generally with a round cross-section, used in sewing, weaving or in the construction of string.	Noun	6.38
436437	towel	-	TOWEL	Clothing and grooming	Piece of absorbent fabric or paper used for drying or wiping.	Noun	6.82
349559	trousers	-	TROUSERS	Clothing and grooming	An item of clothing worn on the lower part of the body and covering both legs separately.	Noun	6.48
710500	undress	-	UNDRESS	Clothing and grooming	To take off all of one's clothes.	Verb	-
510127	veil	-	VEIL	Clothing and grooming	A head covering.	Noun	6.59
1280854	weave	-	WEAVE	Clothing and grooming	To make, as fabric, by enterlacing threads.	Verb	6.33
4174	wool	-	WOOL	Clothing and grooming	The soft, curly hair that forms the fleece of sheep, lamas and other animals and which is used to produce clothing.	Noun	6.22
1543026	wrapper	-	WRAPPER	Clothing and grooming	a colorful women's garment widely worn in West Africa.	Noun	-
6464	and	6466	AND	Cognition	Used to connect two homogeneous words or phrases.	Function word	17.51
514093	because	-	BECAUSE	Cognition	conjunction initiating a causal phrase.	Function word	17.52
8203	believe	-	BELIEVE	Cognition	To be confident about something.	Verb	17.15
837839	betray	1415512	BETRAY	Cognition	To cause someone to believe an untruth; to practice trickery or fraud.	Verb	17441
364159	cause	1160391	CAUSE	Cognition	That which brings about any condition or produces any effect.	Noun	17.42
157395	certain	-	CERTAIN	Cognition	Without any doubt or possibility of deviation.	Adjective	17.37
425679	clear	429929	CLEAR	Cognition	Free of ambiguity or doubt.	Adjective	17.34
159359	difficult	8175	DIFFICULT	Cognition	Not easy, which needs hard work, patience and effort.	Adjective	17.47
5716	doubt	6812	DOUBT	Cognition	Challenge about the truth or accuracy of a matter.	Noun	17.43
333916	easy	-	EASY	Cognition	Requiring little skill or effort; posing no difficulty.	Adjective	17.46
6661	explain	-	EXPLAIN	Cognition	To inform about the reason for something, how something works, or how to do something.	Verb	17.38
6328	forget	-	FORGET	Cognition	To lose memory of something.	Verb	17.32
8518	guess	-	GUESS	Cognition	To succeed to know, or discover, by way of surmises.	Verb	17171
5494	how	-	HOW	Cognition	In what way.	Function word	17.61
353440	how	-	HOW MANY	Cognition	Which quantity?	Function word	17.62
353440	many	-	HOW MANY	Cognition	Which quantity?	Function word	17.62
158133	how	353440	HOW MUCH	Cognition	In what amount.	Function word	17.63
158133	much	353440	HOW MUCH	Cognition	In what amount.	Function word	17.63
6580	idea	-	IDEA	Cognition	A plan or notion that is formed and exists in the mind as a result of mental activity.	Noun	17.19
6076	if	1393788	IF	Cognition	[The introduction of a condition or decision.]	Function word	17.53
1229900	imitate	-	IMITATE	Cognition	To follow as a model or a pattern.	Verb	17172
516310	intention	-	INTENTION	Cognition	An anticipated outcome that is intended to obtain or that guides your planned actions.	Noun	17.41
6004	know	710114;955211	KNOW	Cognition	To be certain or sure about something.	Verb	17.17
157124	learn	-	LEARN	Cognition	To acquire, or attempt to acquire knowledge or an ability to do something.	Verb	17.24
833779	mad	1067624	MAD	Cognition	Mentally ill.	Adjective	17.23
155620	manner	-	MANNER	Cognition	Way of performing or effecting anything.	Noun	17.49
6418	mind	-	MIND	Cognition	The ability for rational thought.	Noun	17.11
1538973	necessity	-	NECESSITY	Cognition	Something that needs to be done.	Noun	17.45
2497	need	447380	NEED	Cognition	The fact or an instance of feeling the lack of something.	Noun	17.45
5568	no	5576	NO	Cognition	A word used to show disagreement of something.	Function word	17.56
7140	obscure	-	OBSCURE	Cognition	Known vaguely or incompletely, if at all.	Adjective	17.35
433943	or	-	OR	Cognition	[Conjunction that indicates an alternative.]	Function word	17.54
341470	pupil	353776	PUPIL, STUDENT	Cognition	A student under the supervision of a teacher or professor.	Noun	17.26
341470	student	353776	PUPIL, STUDENT	Cognition	A student under the supervision of a teacher or professor.	Noun	17.26
335793	remember	-	REMEMBER	Cognition	To recall from memory.	Verb	17.31
3320	school	7490	SCHOOL	Cognition	An institution or building at which children and young people receive education.	Noun	17.28
486825	secret	-	SECRET	Cognition	Being or kept hidden from public perception.	Adjective	17.36
6326	seem	-	SEEM	Cognition	To have a given outward appearance.	Verb	17.18
8498	study	8494	STUDY	Cognition	To follow a course of study; to be enrolled at an institute of learning.	Verb	17242
6322	stupid	-	STUPID	Cognition	Lacking in intelligence.	Adjective	17.22
7724	suspect	1408367	SUSPECT	Cognition	To imagine or suppose (something) to be true without evidence.	Verb	17.44
335855	teach	-	TEACH	Cognition	To pass on knowledge and skills.	Verb	17.25
445262	teacher	1162143	TEACHER	Cognition	A person who passes on knowledge, especially one employed in a school.	Noun	17.27
6309	think	-	THINK, BELIEVE	Cognition	To have as opinion, belief, or idea.	Verb	17.14
6309	believe	-	THINK, BELIEVE	Cognition	To have as opinion, belief, or idea.	Verb	17.14
6021	think	-	THINK, REFLECT	Cognition	To actively and consciously use one's mental powers, usually to form ideas.	Verb	17.13
6021	reflect	-	THINK, REFLECT	Cognition	To actively and consciously use one's mental powers, usually to form ideas.	Verb	17.13
7471	try	-	TRY	Cognition	To put to the test, as for its quality, or give experimental use to.	Verb	17.48
6356	understand	992756	UNDERSTAND	Cognition	To be aware of the meaning of.	Verb	17.16
5491	what	-	WHAT	Cognition	Which thing.	Function word	17.64
5493	when	-	WHEN	Cognition	at what time	Function word	17.65
5492	where	-	WHERE	Cognition	At what place?	Function word	17.66
338269	which	338249	WHICH	Cognition	What one or ones (of those mentioned or implied).	Function word	17.67
5490	who	-	WHO	Cognition	What person or people; which person or people.	Function word	17.68
5572	why	-	WHY	Cognition	For what reason.	Function word	17.69
334990	wise	-	WISE	Cognition	Showing good judgement or the benefit of experience.	Adjective	17.21
5567	yes	-	YES	Cognition	A word used to show agreement or affirmation of something.	Function word	17.55
1156554	anger	-	ANGER	Emotions and values	Belligerence aroused by a real or supposed wrong (personified as one of the deadly sins).	Noun	16.42
430287	anxiety	-	ANXIETY	Emotions and values	An unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath.	Noun	16.33
823950	ashamed	-	ASHAMED	Emotions and values	Feeling shame or guilt.	Adjective	-
834474	astonished	-	ASTONISHED	Emotions and values	Filled with the emotional impact of overwhelming surprise or shock.	Adjective	16.15
5650	bad	-	BAD	Emotions and values	Not good; unfavorable; negative.	Adjective	16.72
1107818	bad	-	BAD LUCK	Emotions and values	An undesirable event such as an accident.	Noun	16.19
1107818	luck	-	BAD LUCK	Emotions and values	An undesirable event such as an accident.	Noun	16.19
6037	beautiful	-	BEAUTIFUL	Emotions and values	Having nice or positive properties (specifically with regard to the senses, and most commonly, that of sight).	Adjective	16.81
1511068	blame	-	BLAME	Emotions and values	Culpability for something negative or undesirable.	Noun	16.78
1016033	brave	-	BRAVE	Emotions and values	Having or characterized by courage.	Adjective	16.52
7084	choose	-	CHOOSE	Emotions and values	To make a choice from a number of alternatives.	Verb	16622
5722	clever	-	CLEVER	Emotions and values	Mentally agile.	Adjective	16.84
7026	correct	-	CORRECT, RIGHT	Emotions and values	That are in accordance with fact.	Adjective	16.73
7026	right	-	CORRECT, RIGHT	Emotions and values	That are in accordance with fact.	Adjective	16.73
7709	cry	-	CRY	Emotions and values	To shed tears due to the impact of an emotion.	Verb	16.37
7456	danger	-	DANGER	Emotions and values	A situation that constitutes an immediate risk for injury on a person or property.	Noun	16.54
722783	dare	-	DARE	Emotions and values	To have enough courage (to do something).	Verb	16.51
1030671	deceit	-	DECEIT	Emotions and values	The act or practice of deceiving.	Noun	16.68
395892	embrace	-	EMBRACE	Emotions and values	To squeeze someone in one's arms.	Verb	16.3
1086952	envy	-	ENVY	Emotions and values	A feeling of discontent or covetousness with regard to another's advantages, success, possessions, etc.	Noun	16.44
1098473	evil	-	EVIL	Emotions and values	Intending to harm.	Adjective	-
1176245	faithful	-	FAITHFUL	Emotions and values	Steadfast in affection.	Adjective	16.65
1280872	fault	868115	FAULT	Emotions and values	Wrong act done deliberately or good act omitted deliberately.	Noun	16.76
6025	fear	-	FEAR, BE AFRAID	Emotions and values	To be scared of; to have an uncontrollable emotion of anxiety about something that causes a scared reaction or frightening impression.	Verb	-
6025	be	-	FEAR, BE AFRAID	Emotions and values	To be scared of; to have an uncontrollable emotion of anxiety about something that causes a scared reaction or frightening impression.	Verb	-
6025	afraid	-	FEAR, BE AFRAID	Emotions and values	To be scared of; to have an uncontrollable emotion of anxiety about something that causes a scared reaction or frightening impression.	Verb	-
345325	fear	-	FEAR, FRIGHT	Emotions and values	An emotion experienced in anticipation of some specific pain or danger.	Noun	16.53
345325	fright	-	FEAR, FRIGHT	Emotions and values	An emotion experienced in anticipation of some specific pain or danger.	Noun	16.53
6336	forgive	-	FORGIVE	Emotions and values	To stop blaming someone for an offense.	Verb	16.69
443659	good	-	GOOD	Emotions and values	Having desired or positive qualities.	Adjective	16.71
336810	good	-	GOOD LUCK	Emotions and values	Something positive that happens to someone by chance.	Noun	16.18
336810	luck	-	GOOD LUCK	Emotions and values	Something positive that happens to someone by chance.	Noun	16.18
983313	greedy	983280	GREEDY	Emotions and values	Excessively desirous of money, wealth or possessions.	Adjective	16.83
6858	grief	-	GRIEF	Emotions and values	Mental suffering or pain caused by injury, loss, or despair.	Noun	16.32
336417	groan	-	GROAN	Emotions and values	a low, guttural sound of frustration	Verb	16.39
6246	happy	8326	HAPPY	Emotions and values	Having a feeling of satisfaction, enjoyment or well-being, often arising from a positive situation or set of circumstances.	Adjective	16.23
6573	hate	-	HATE	Emotions and values	To dislike intensely; to feel strong hostility towards.	Verb	16.41
475239	hope	-	HOPE	Emotions and values	To want something to happen.	Verb	16.63
980918	jealousy	-	JEALOUSY	Emotions and values	A jealous feeling, disposition, state, or mood.	Noun	16.44
158442	kiss	-	KISS	Emotions and values	To touch with the lips to express love or affection.	Verb	16.29
5876	laugh	-	LAUGH	Emotions and values	To express pleasure, mirth or derision by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat.	Verb	16.25
161769	lie	-	LIE, MISLEAD	Emotions and values	To knowingly say something that is untrue.	Verb	16.67
161769	mislead	-	LIE, MISLEAD	Emotions and values	To knowingly say something that is untrue.	Verb	16.67
395193	love	-	LOVE	Emotions and values	To have an intense feeling of affection and care towards another person.	Verb	16.27
5651	mistake	-	MISTAKE	Emotions and values	A mistake, an oversight, a slight; usually apologetic, referring to one's own failures.	Noun	16.77
7257	pain	-	PAIN	Emotions and values	An unpleasant, usually localised physical sensation that is often the result of an injury, disease or other ailment.	Noun	16.31
503503	pity	-	PITY	Emotions and values	Deep awareness of the suffering of another, coupled with the wish to relieve it.	Noun	16.35
6010	play	-	PLAY	Emotions and values	To act in a manner such that one has fun; to engage in playful activities expressly for the purpose of recreation.	Verb	16.26
695465	praise	-	PRAISE	Emotions and values	the act of expressing approval or admiration; commendation; laudation.	Noun	16.79
1374507	proud	-	PROUD	Emotions and values	Feeling greatly pleased, or satisfied by something or someone that is highly honorable or creditable to oneself	Adjective	16.48
8110	regret	-	REGRET	Emotions and values	To wish that a past event had not happened.	Verb	16.34
719675	shame	-	SHAME	Emotions and values	The consciousness or awareness of dishonor, disgrace, or condemnation.	Noun	16.45
155571	shy	-	SHY	Emotions and values	(For a personality) characterized by being uncomfortable with having attention drawn to them, for example when introducing oneself or when speaking in front of an audience.	Adjective	-
6067	smile	-	SMILE	Emotions and values	To make an upwards movement of the sides of the mouth, that indicates happiness or satisfaction.	Verb	16251
349815	soul	349830	SOUL	Emotions and values	In philosophical or religious belief the immaterial and immortal part of a human being which lives on after death.	Noun	16.11
1107036	spirit	-	SPIRIT	Emotions and values	The undying essence of a human.	Noun	16.11
6444	surprised	-	SURPRISED	Emotions and values	The feeling that something unexpected has happened.	Adjective	16.15
6805	tear	-	TEAR OF EYE	Emotions and values	A drop of liquid produced from the eyes by crying or irritation.	Noun	16.38
6805	of	-	TEAR OF EYE	Emotions and values	A drop of liquid produced from the eyes by crying or irritation.	Noun	16.38
6805	eye	-	TEAR OF EYE	Emotions and values	A drop of liquid produced from the eyes by crying or irritation.	Noun	16.38
6708	truth	-	TRUTH	Emotions and values	That which conforms to reality.	Noun	-
639024	ugly	-	UGLY	Emotions and values	Not good looking.	Adjective	16.82
7258	want	-	WANT	Emotions and values	To have a strong desire for something.	Verb	16.62
5971	wrong	-	WRONG	Emotions and values	Contradicting the facts.	Adjective	16.74
6816	true	-	TRUE	Emotions and values	Concurring with a given set of facts.	Adjective	16.66
6134	exact	-	EXACT	Emotions and values	Without diversion from the desired or agreed specification; neither exceeding nor failling short in any way.	Adjective	-
441581	on	-	ON PURPOSE	Emotions and values	(doing or feeling something) in a deliberate or controlled way.	Function word	-
441581	purpose	-	ON PURPOSE	Emotions and values	(doing or feeling something) in a deliberate or controlled way.	Function word	-
507273	aubergine	-	AUBERGINE	Food and drink	An Asian plant, Solanum melongena, cultivated for its edible purple, green, or white ovoid fruit.	Noun	-
1392775	bake	-	BAKE	Food and drink	To cook (something) in an oven, but not in fat.	Verb	5.24
1505835	banisterium	-	BANISTERIUM	Food and drink	A psychoactive infusion prepared from the Banisteriopsis spp.	Noun	-
6345	be	-	BE HUNGRY	Food and drink	A need of food.	Verb	5.14
6345	hungry	-	BE HUNGRY	Food and drink	A need of food.	Verb	5.14
359542	be	677004	BE THIRSTY	Food and drink	A physiological need to drink.	Verb	5.15
359542	thirsty	677004	BE THIRSTY	Food and drink	A physiological need to drink.	Verb	5.15
355931	bean	-	BEAN	Food and drink	Any of various leguminous plants grown for their edible seeds and pods.	Noun	5.66
6715	beer	-	BEER	Food and drink	An alcoholic beverage commonly fermented from barley malt, with hops or some other substance to impart a bitter flavor.	Noun	5.93
384870	berry	-	BERRY	Food and drink	A soft fruit which develops from a superior ovary and contains seeds not encased in pits.	Noun	-
347033	boil	-	BOIL OF LIQUID	Food and drink	To be at a temperature (as a liquid) where it moves into the gaseous phase.	Verb	5.22
347033	of	-	BOIL OF LIQUID	Food and drink	To be at a temperature (as a liquid) where it moves into the gaseous phase.	Verb	5.22
347033	liquid	-	BOIL OF LIQUID	Food and drink	To be at a temperature (as a liquid) where it moves into the gaseous phase.	Verb	5.22
