OMEGAWIKI	WOLD	GLOSS	SEMANTICFIELD	DEFINITION	POS
6157	6.91	COMB	Clothing and grooming	A toothed implement for grooming the hair.	Noun
6056	10.48	COME	Motion	To move toward or to reach either the speaker, the person spoken to, or the subject of the speaker's narrative.	Verb
159011	10.481	COME BACK	Motion	To go there where one was before.	Verb
957698	19.45	COMMAND	Social and political relations	That which is enjoined or ordered to one or several persons by a superior authority.	Verb
474203	4.732	CONCEIVE	The body	To become pregnant.	Verb
155122	21.32	CONDEMN	Law	To declare, after a judgement, that somebody is guilty of commiting a crime.	Verb
1506163	8.996	CONE	Agriculture and vegetation	The fruit of a pine or fir tree.	Noun
422713	21.33	CONVICT	Law	To find guilty of a crime as a result of legal proceedings.	Verb
479132	5.21	COOK	Food and drink	To prepare a meal or a single dish.	Verb
1505768	5.121	COOKED	Food and drink	Contrasting with 'raw'.	Adjective
1510578	7.17	COOKHOUSE	The house	A small house where cooking takes place; a kitchen house.	Noun
761	9.66	COPPER	Basic actions and technology	Chemical element with symbol Cu and atomic number 29; one of the most important nonferrous metals; a ductile and malleable metal found in various ores and used in industry, engineering, and the arts in both pure and alloyed form.	Noun
358081	3.597	CORMORANT	Animals	Medium sized, black water bird from the family of the cormorants (Phalacrocoracidae), scientific name: Phalacrocorax carbo	Noun
1404011	12.76	CORNER	Spatial relations	The area around the point where two converging walls meet.	Noun
343500	4.77	CORPSE	The body	A dead body.	Noun
7026	16.73	CORRECT,RIGHT	Emotions and values	That are in accordance with fact.	Adjective
781	6.24	COTTON	Clothing and grooming	Fiber obtained from plants of the genus Gossypium, used in making fabrics, cordage, and padding and for producing artificial fibers and cellulose.	Noun
373675	4.53	COUGH	The body	To force air from the lungs out the mouth, sometimes involuntarily, accompanied by a rough sound.	Verb
6026	13.107	COUNT	Quantity	To enumerate the digits of one's numeral system.	Verb
5671	19.11	COUNTRY	Social and political relations	A political entity asserting ultimate authority over a geographical area.	Noun
4578	21.15	COURT	Law	An organ of the government, belonging to the judicial department, whose function is the application of the laws to controversies brought before it and the public administration of justice.	Noun
1017244	7.15	COURT	The house	An area wholly or partly surrounded by walls or buildings.	Noun
6736	2.55	COUSIN	Kinship	The child of the sibling of a parent of a person.	Noun
342543	12.26	COVER	Spatial relations	To place something over or upon to conceal or protect.	Verb
432006	3.23	COW	Animals	Female bovine animal (Bos taurus) of the subfamily Bovinae of the family Bovidae.	Noun
388687	3.862	COYOTE	Animals	(Canis latrans) A member of the Canidae family native to North America.	Noun
1168231	10.41	CRAWL	Motion	to move in a prone position with the body resting on or close to the ground.	Verb
4568	23.37	CRIME	Modern world	Any act done in violation of those duties which an individual owes to the community, and for the breach of which the law has provided that the offender shall make satisfaction to the public.(Source: BLACK)	Noun
791	3.97	CROCODILE	Animals	Any large tropical reptile of the family Crocodylidae: order Crocodylia. They have a broad head, tapering snout, massive jaws, and a thick outer covering of bony plates.(Source: CED)	Noun
1507521	12.74	CROOKED	Spatial relations	Opposite of straight	Adjective
5908	12.77	CROSS	Spatial relations	A geometrical figure consisting of two straight lines or bars intersecting each other such that at least one of them is bisected by the other.	Noun
1507443	10.413	CROUCH	Motion	To lower one's body close to the ground by bending one's knees completely.	Verb
388727	3.593	CROW	Animals	A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call.	Noun
993922	13.19	CROWD	Quantity	A large group of people.	Noun
632491	5.56	CRUSH	Food and drink	To tighten (something) so strongly that it loses the form and the original consistency	Verb
7709	16.37	CRY	Emotions and values	To shed tears due to the impact of an emotion.	Verb
638225	8.15	CULTIVATE	Agriculture and vegetation	To grow plants.	Verb
154685	5.35	CUP	Food and drink	A concave vessel for holding liquid, generally adorned with either a handle or a stem	Noun
156675	4.86	CURE	The body	To remedy an illness using medical or medicamentous treatment; to provide a cure for.	Verb
1023517	22.24	CURSE	Religion and belief	An appeal or prayer for evil or misfortune to befall someone or something.	Verb
707480	19.61	CUSTOM	Social and political relations	A pattern of behavior inherited or acquired through frequent repetition.	Noun
6043	9.22	CUT	Basic actions and technology	To perform an incision (for example, with a knife).	Verb
1510941	9.221	CUT DOWN	Basic actions and technology	To bring down by cutting.	Verb
485920	11.29	DAMAGE	Possession	To put a thing in bad condition by making it suffer some damage.	Verb
8136	10.44	DANCE	Motion	To move with rhythmic steps or movements, especially in time to music.	Verb
158253	4.146	DANDRUFF	The body	Small portion of dead skin cells shedding from the scalp.	Noun
7456	16.54	DANGER	Emotions and values	A situation that constitutes an immediate risk for injury on a person or property.	Noun
722783	16.51	DARE	Emotions and values	To have enough courage (to do something).	Verb
335607	15.63	DARK	Sense perception	Having an absolute or (more often) relative lack of light.	Adjective
1025381	1.62	DARKNESS	The physical world	Absence of light.	Noun
5881	2.42	DAUGHTER	Kinship	An animal's female offspring (including that of a human).	Noun
454163	2.64;2.641	DAUGHTER-IN-LAW,DAUGTHER-IN-LAW	Kinship	The wife of someone's son.	Noun
338616	14.43	DAWN	Time	A period of time at the beginning of the day shortly before sunrise during which the light gradually becomes stronger.	Noun
5533	14.411	DAY	Time	A period of time lasting 24 hours	Noun
5477	14.41	DAY	Time	The period between sunrise and sunset where one enjoys daylight.	Noun
528451	14.481	DAY AFTER TOMORROW	Time	On the day following tomorrow.	Function word
528467	14.491	DAY BEFORE YESTERDAY	Time	On the day before yesterday.	Function word
6660	4.7501	DEAD	The body	Not alive; lacking life.	Adjective
428203	4.95	DEAF	The body	Not having the faculty of hearing, or only having a restricted capability to hear.	Adjective
843	11.64	DEBT	Possession	Something owed to someone else.	Noun
1030671	16.68	DECEIT	Emotions and values	The act or practice of deceiving.	Noun
6535	12.67	DEEP	Spatial relations	Having a bottom or base that is far away from the top.	Adjective
858	3.75	DEER	Animals	The common name for 41 species of even-toed ungulates that compose the family Cervidae in the order Artiodactyla; males have antlers.	Noun
345406	20.42	DEFEAT	Warfare and hunting	An end to a struggle or contest that did not end in success.	Noun
5818	11.24;20.44	DEFEND,PRESERVE	Warfare and hunting	To keep something or someone safe or prevent harm coming to someone or something.	Verb
442442	21.22	DEFENDANT	Law	Any party who is required to answer the complaint of a plaintiff in a civil lawsuit before a court.	Noun
915102	22.35	DEMON	Religion and belief	Evil spirit or person that is wicked or cruel in their actions.	Noun
341655	18.34	DENY	Speech and language	To refuse strongly and solemnly to own or acknowledge.	Verb
980418	10.473	DESCEND,GO DOWN	Motion	To go from a higher to a lower place.	Verb
155705	2.57	DESCENDANTS	Kinship	One who is the progeny of someone at any distance of time.	Noun
333618	11.27	DESTROY	Possession	To damage beyond use or repair.	Verb
921645	1.64	DEW	The physical world	Atmospheric moisture that condenses after a warm day and appears during the night on cool surfaces as small drops.	Noun
6245	4.75	DIE	The body	To cease to live.	Verb
159359	17.47	DIFFICULT	Cognition	Not easy, which needs hard work, patience and effort.	Adjective
6024	8.22	DIG	Agriculture and vegetation	To move earth, rocks, etc. out of the way, usually to create a hole.	Verb
1510840	8.28	DIGGING STICK	Agriculture and vegetation	A rod shaped implement used by the aboriginal people of Australia to dig yam and as a combat weapon.	Noun
7654	5.44;5.45	DINNER,SUPPER	Food and drink	A meal that is eaten in the late afternoon or evening daily.	Noun
5483	15.88	DIRTY	Sense perception	Covered with or containing unpleasant substances such as dirt or grime.	Adjective
155161	10.491	DISAPPEAR	Motion	To cease to appear, to not be visible anymore.	Verb
941	4.844	DISEASE	The body	A definite pathological process having a characteristic set of signs and symptoms which are detrimental to the well-being of the individual.	Noun
154785	5.31	DISH	Food and drink	A vessel such as a plate for holding or serving food, often flat with a depressed region in the middle.	Noun
960	8.17	DITCH	Agriculture and vegetation	A long, narrow excavation artificially dug in the ground; especially an open and usually unpaved waterway, channel, or trench for conveying water for drainage or irrigation, and usually smaller than a canal. Some ditches may be natural watercourses.	Noun
1235455	10.351	DIVE	Motion	To swim under water.	Verb
486237	12.232	DIVIDE	Spatial relations	To split or separate something into two or more parts.	Verb
499844	2.341	DIVORCE	Kinship	Legal dissolution of a marriage.	Noun
351006	9.11	DO	Basic actions and technology	To act, to behave.	Verb
966	3.61	DOG	Animals	A common four-legged animal, especially kept by people as a pet or to hunt or guard things.	Noun
616807	3.662	DOLPHIN	Animals	A carnivorous aquatic mammal inhabiting mostly in the shallower seas of the continental shelves.	Noun
8030	3.46	DONKEY	Animals	A domesticated animal, Equus asinus.	Noun
1253751	7.22	DOOR	The house	A moveable barrier that can be closed or open to control access to a building, a room, a car, an area, etc.	Noun
1153341	7.221	DOORPOST	The house	The frame that supports a door.	Noun
5716	17.43	DOUBT	Cognition	Challenge about the truth or accuracy of a matter.	Noun
1505807	5.53	DOUGH	Food and drink	A mixture of flour and water ready to be baked into bread, pastry etc.	Noun
7890	3.594	DOVE	Animals	One of several birds of the family Columbidae.	Noun
5797	12.03	DOWN	Spatial relations	From an higher position to a lower one.	Function word
840722	9.9	DRAW WATER	Basic actions and technology	To draw by a physical force causing or tending to cause to approach, adhere, or unite	Verb
8448	4.62	DREAM	The body	To experience while sleeping.	Verb
154560	6.42	DRESS	Clothing and grooming	A one-piece garment for a woman that has a skirt and a body section.	Noun
1505759	4.591	DRIBBLE	The body	To let saliva flow out of one’s mouth onto one’s chin.	Verb
339	5.9	DRINK	Food and drink	Any one of various liquids for drinking.	Noun
5991	5.13	DRINK	Food and drink	To consume a liquid through the mouth.	Verb
1510993	10.24	DRIP	Motion	To fall one drop at a time.	Verb
340699	10.65	DRIVE	Motion	To operate a (motorized) vehicle (with wheels).	Verb
161564	23.34	DRIVER'S LICENSE	Modern world	Official document granting someone the authorisation to drive some vehicles.	Noun
348656	10.16	DROP	Motion	to fall in globules or small portions, as water or other liquid.	Verb
838127	4.751	DROWN	The body	To be suffocated in water or other fluid; to perish by suffocation in water.	Verb
386380	18.72	DRUM	Speech and language	A percussion instrument consisting of at least one membrane that is stretched over a shell and struck directly with the player's hands or with a drumstick.	Noun
6098	4.98	DRUNK	The body	Being in a temporary state in which one's physical and mental faculties are impaired due to excessive consumption of alcohol.	Adjective
5989	15.84	DRY	Sense perception	(Almost) free from liquid or moisture.	Adjective
5886	3.57	DUCK	Animals	An aquatic bird of the family Anatidae, having a flat bill and webbed feet.	Noun
1009	1.213	DUST	The physical world	Any kind of solid material divided in particles of very small size.	Noun
1335255	6.39	DYE	Clothing and grooming	To modify the color of something by applying dye.	Verb
838154	3.584	EAGLE	Animals	Any of several large carnivorous birds in the family Accipitridae, having a powerful hooked bill and keen vision.	Noun
5510	4.22	EAR	The body	The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.	Noun
1048124	4.221	EARLOBE	The body	The lower fleshy part of the human ear.	Noun
331892	14.16	EARLY	Time	Before the expected time.	Function word
339161	11.79	EARN	Possession	To gain (success) through applied effort or work.	Verb
344234	6.77	EARRING	Clothing and grooming	A piece of jewelry worn on the ear.	Noun
1019	1.45	EARTHQUAKE	The physical world	The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.	Noun
1071961	4.222	EARWAX	The body	A yellowish, waxlike secretion from certain glands in the external auditory canal.	Noun
8131	12.45	EAST	Spatial relations	One of the four principal compass points, specifically 90°, conventionally directed to the right on maps. The direction of the rising sun.	Noun
333916	17.46	EASY	Cognition	Requiring little skill or effort; posing no difficulty.	Adjective
5827	5.11	EAT	Food and drink	To consume something solid or semi-solid (usually food) by putting it into the mouth and eventually swallowing it.	Verb
366432	12.353	EDGE	Spatial relations	The boundary of a surface.	Noun
340828	5.97	EGG	Food and drink	Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.	Noun
7005	13.08	EIGHT	Quantity	The cardinal number occurring after seven and before nine, represented in Roman numerals as VIII, in Arabic numerals as 8.	Function word
422180	4.32	ELBOW	The body	The joint between arm and forearm.	Noun
1488304	23.38	ELECTION	Modern world	A process by which members of a population vote to choose a person to hold public office.	Noun
1109	23.17	ELECTRICITY	Modern world	A general term used for all phenomena caused by electric charge whether static or in motion.	Noun
5643	3.77	ELEPHANT	Animals	A mammal of the order Proboscidea, having a trunk, and two large ivory tusks jutting from the upper jaw. Elephants are the largest land animals now existing.	Noun
7006	13.101	ELEVEN	Quantity	The cardinal number occurring after ten and before twelve, represented in Roman numerals as XI, in Arabic numerals as 11.	Function word
444093	22.44	ELF	Religion and belief	A mythical creature of Germanic mythology. In Norse mythology they were originally minor gods of nature and fertility. They are often pictured as youthful-seeming men and women of great beauty living in forests and other natural places, underground, or in wells and springs. They have been portrayed to be long-lived or immortal and they have magical powers attributed to them.	Noun
718134	3.872	ELK	Animals	The largest member of the deer family (Alces alces), of which the male has very large, palmate antlers.	Noun
1124797	1.841	EMBERS	The physical world	A small, glowing piece of coal or wood, as in a dying fire.	Noun
395892	16.3	EMBRACE	Emotions and values	To squeeze someone in one's arms.	Verb
6659	13.22	EMPTY	Quantity	Without content.	Adjective
340747	12.35	END	Spatial relations	Extreme part.	Noun
340750	14.26	END	Time	The last or final part.	Noun
5882	19.52	ENEMY	Social and political relations	Someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else.	Noun
8158	13.18	ENOUGH	Quantity	All that is required, needed, or appropriate.	Function word
341348	10.57	ENTER	Motion	To go into.	Verb
1086952	16.44	ENVY	Emotions and values	A feeling of discontent or covetousness with regard to another's advantages, success, possessions, etc.	Noun
6671	14.46	EVENING	Time	That part of the day in which daylight decreases and the night falls.	Noun
5856	3.28	EWE	Animals	A female sheep.	Noun
6036	11.88	EXPENSIVE	Possession	Having a high price, cost.	Adjective
6661	17.38	EXPLAIN	Cognition	To inform about the reason for something, how something works, or how to do something.	Verb
1255943	1.861	EXTINGUISH	The physical world	To make something stop burning.	Verb
5511	4.21	EYE	The body	The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals see.	Noun
523726	4.212	EYEBROW	The body	The hair that grows over the bone ridge above the eye socket.	Noun
637874	4.214	EYELASH	The body	One of the hairs that grows on the eyelid, around the eyes.	Noun
1046808	4.213	EYELID	The body	A skin flap that can be closed over an eye.	Noun
6410	4.204	FACE	The body	The front part of the head, featuring the eyes, nose, and mouth and the surrounding area.	Noun
502976	22.44	FAIRY	Religion and belief	one of a class of female supernatural beings, generally conceived as having a diminutive human form and possessing magical powers.	Noun
1176245	16.65	FAITHFUL	Emotions and values	Steadfast in affection.	Adjective
5622	10.23	FALL	Motion	To descend in free fall due to the effect of gravity.	Verb
1405	2.82	FAMILY	Kinship	A group comprising parents, offsprings and others closely related or associated with them.	Noun
1407	5.141	FAMINE	Food and drink	A severe shortage of food, as through crop failure or over population. It may be due to poor harvests following drought, floods, earthquake, war, social conflict, etc.	Noun
1510960	9.791	FAN	Basic actions and technology	To blow air on (something) by means of a fan (hand-held, mechanical or electrical) or otherwise.	Verb
912239	9.79	FAN	Basic actions and technology	A device that provides air circulation in a closed environment by rotating an helix, in order to cool down someone or something.	Noun
5997	12.44	FAR	Spatial relations	Having a large intervening distance with regard to something.	Adverb
421671	8.11	FARMER	Agriculture and vegetation	A person who works the land or who keeps livestock, especially on a farm.	Noun
515390	4.64	FART	The body	To emit digestive gases through the anus.	Verb
1508616	22.26	FAST	Religion and belief	To refrain from eating	Verb
6672	14.21	FAST	Time	Occurring or happening within a short time.	Adverb
5624	5.791	FAT	Food and drink	The ester of glycerol and one, two, or three fatty acids.	Noun
5464	2.35	FATHER	Kinship	A male parent.	Noun
936030	2.512	FATHER'S BROTHER	Kinship	The brother of someone’s father.	Noun
1372531	2.522	FATHER'S SISTER	Kinship	The sister of one's father.	Noun
454081	2.61;2.611	FATHER-IN-LAW	Kinship	The father of someone's spouse.	Noun
1153477	12.541	FATHOM	Spatial relations	A linear unit of measurement, equal to 6 feet, for water depth.	Noun
622752	23.5	FAUCET	Modern world	A device applied to the end of a pipe in order to interrupt and regulate the flow of a liquid or gas.	Noun
1280872	16.76	FAULT	Emotions and values	Wrong act done deliberately or good act omitted deliberately.	Noun
345325	16.53	FEAR	Emotions and values	An emotion experienced in anticipation of some specific pain or danger.	Noun
5436	4.393	FEATHER	The body	A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.	Noun
467089	15.72	FEEL	Sense perception	To be in some emotional state.	Verb
1510534	6.27	FELT	Clothing and grooming	A cloth or stuff made of matted fibres of wool, or wool and fur, fulled or wrought into a compact substance by rolling and pressure, with lees or size, without spinning or weaving.	Noun
6392	3.13	FEMALE	Animals	A member of the sex which is generally characterized as the one associated with the larger gametes (for species which have two sexes and for which this distinction can be made).	Adjective
6393	2.24	FEMALE	Kinship	Of, relating to, or denoting the sex which is generally characterized as the one associated with the larger gametes (for species which have two sexes and for which this distinction can be made).	Adjective
698534	8.16	FENCE	Agriculture and vegetation	Delimitation for an area.	Noun
1525942	5.94	FERMENTED DRINK	Food and drink	A fermented drink is a beverage containing alcohol because of a metabolic process that converts sugar to acids, gases and/or alcohol (e.g. beer or wine).	Noun
6347	4.841	FEVER	The body	A higher than normal temperature of a person (or generally a mammal).	Noun
5500	13.17	FEW	Quantity	More than one, but not as many as usual or as expected.	Function word
1425	8.12	FIELD	Agriculture and vegetation	A limited area of land with grass or crops growing on it, which is usually surrounded by fences or closely planted bushes when it is part of a farm.	Noun
7010	13.103	FIFTEEN	Quantity	The cardinal number occurring after fourteen and before sixteen, represented in Roman numerals as XV and in Arabic numerals as 15.	Function word
1510497	5.75	FIG	Food and drink	The fruit of the fig tree, pear-shaped and containing many small seeds.	Noun
6030	20.11	FIGHT	Warfare and hunting	To be involved in a physical confrontation.	Verb
1425624	3.652	FIN	Animals	An appendage of a fish used for swimming.	Noun
336790	11.32	FIND	Possession	To encounter something by accident or after searching for it.	Verb
1444	21.38	FINE	Law	A pecuniary punishment or penalty imposed by lawful tribunal upon person convicted of crime or misdemeanor.	Noun
5675	4.34	FINGER	The body	One of the long extremities of the hand that is used for gripping objects.	Noun
5529	4.344	FINGERNAIL	The body	The hard, flat, translucent covering near the tip of a human finger, useful for scratching and fine manipulation.	Noun
7146	14.27	FINISH	Time	To end something, to bring something to a conclusion.	Verb
843491	8.65	FIR	Agriculture and vegetation	An evergreen coniferous tree of the genus Abies.	Noun
1446	1.81	FIRE	The physical world	The state of combustion in which inflammable material burns, producing heat, flames and often smoke.	Noun
1415152	3.91	FIREFLY	Animals	A nocturnal, bioluminescent beetle of the family Lampyridae.	Noun
1395201	7.31	FIREPLACE	The house	An open recess in a wall at the base of a chimney where a fire may be built.	Noun
1024755	1.88	FIREWOOD	The physical world	Wood intended to be burned.	Noun
338524	13.34	FIRST	Quantity	Having no predecessor. The ordinal number corresponding to one.	Function word
1460	3.65	FISH	Animals	A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).	Noun
1510877	8.96	FISH POISON	Agriculture and vegetation	in Amazonia, a kind of root is apparently used as fish poison	Noun
1511114	20.55	FISH TRAP	Warfare and hunting	A contraption made of wires, rods, fishing-net or other suitable materials with the purpose of catching fish alive.	Noun
7928	20.51	FISHERMAN	Warfare and hunting	A person whose profession is catching fish.	Noun
461552	20.52	FISHHOOK	Warfare and hunting	A metal hook for catching fish.	Noun
1048155	20.53	FISHING LINE	Warfare and hunting	A line intended to fasten hooks in when fishing.	Noun
1511110	20.54	FISHNET	Warfare and hunting	A net used to catch fish.	Noun
156104	13.05	FIVE	Quantity	The fifth natural number (5).	Function word
376152	1.82	FLAME	The physical world	A bright yellow, red or bluish light which emerges during combustion processes.	Noun
6680	12.71	FLAT	Spatial relations	Having no variations in altitude.	Adjective
1476	3.813	FLEA	Animals	Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds.(Source: MGH)	Noun
414377	10.51	FLEE	Motion	Leaving a dangerous or unpleasant situation.	Verb
1539792	4.13	FLESH	The body	The flesh of humans as opposed to the flesh of animals.	Noun
6457	10.34	FLOAT	Motion	To move or run smoothly and continously as a fluid.	Verb
6679	7.26	FLOOR	The house	The bottom or lower part of any room; the supporting surface of a room.	Noun
6539	5.55	FLOUR	Food and drink	Ground or milled grain or cereal.	Noun
961244	10.32	FLOW	Motion	To move as a fluid from one position to another (e.g. of people).	Verb
1487	8.57	FLOWER	Agriculture and vegetation	The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.	Noun
344824	18.71	FLUTE	Speech and language	A musical instrument of the woodwind family.	Noun
6261	3.83	FLY	Animals	A common insect; any species of insect of the order Diptera.	Noun
6052	10.37	FLY	Motion	To move autonomously through the air, without any part of the object or object's enclosure touching anything attached to the ground.	Verb
6776	3.45	FOAL	Animals	A juvenile horse, especially one which is not yet weaned.	Noun
7153	1.324	FOAM	The physical world	A mass of adjacent small pockets of air or bubbles with solid or liquid boundaries.	Noun
1502	1.74	FOG	The physical world	Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.	Noun
6146	9.15	FOLD	Basic actions and technology	To bend a thin material (such as paper) over so that it comes in contact with itself.	Verb
471020	10.52	FOLLOW	Motion	To go or come after (in physical space) someone or something.	Verb
1505	5.12	FOOD	Food and drink	A substance that can be ingested and utilized by the organism as a source of nutrition and energy.	Noun
5672	4.37	FOOT	The body	The part of a human’s body below the ankle that is used in order to stand and walk.	Noun
1510480	4.374	FOOTPRINT	The body	The impression of the foot in a soft substance such as sand or snow.	Noun
1527216	14.332	FOR A LONG TIME	Time	Great amount of time between two specific events.	Function word
1157984	18.38	FORBID	Speech and language	To tell not to do something.	Verb
1241509	4.205	FOREHEAD	The body	The part of the face between the hairline and the eyebrows.	Noun
1533	1.41	FOREST	The physical world	A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.	Noun
1507103	9.61	FORGE	Basic actions and technology	To create and mold by hammering.	Verb
6328	17.32	FORGET	Cognition	To lose memory of something.	Verb
6336	16.69	FORGIVE	Emotions and values	To stop blaming someone for an offense.	Verb
5673	5.39	FORK	Food and drink	A utensil with spikes used to put solid food into the mouth.	Noun
1526645	8.74	FORKED BRANCH	Agriculture and vegetation	At this point a branch is forked into two or more branches.	Noun
859332	20.35	FORTRESS	Warfare and hunting	A fortified place; a large and permanent fortification, sometimes including a town.	Noun
6253	13.04	FOUR	Quantity	The cardinal number occurring after three and before five, represented in Roman numerals as IV, in Arabic numerals as 4.	Function word
1505737	3.5	FOWL	Animals	A bird that is kept for its meat and eggs.	Noun
5726	3.74	FOX	Animals	A carnivorous relatively small canine of the species Vulpes Vulpes.	Noun
1511050	15.25	FRAGRANT	Sense perception	Sweet-smelling; having a pleasant (usually strong) scent or fragrance.	Adjective
1511095	19.44	FREEMAN	Social and political relations	A free man, one who is not a serf or slave.	Noun
6042	1.775	FREEZE	The physical world	To reach a chemically solid state, by the process of cooling.	Verb
433736	3.665	FRESHWATER EEL	Animals	A snaky edible fish, which lives in freshwater and in the sea.	Noun
6988	14.67	FRIDAY	Time	The fifth day of the week in Europe and in systems using the ISO 8601 norm; the sixth day of the week in the United States of America.	Noun
5793	19.51	FRIEND	Social and political relations	A person other than a family member, spouse or lover whose company one enjoys and towards whom one feels affection.	Noun
1570	3.95	FROG	Animals	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.	Noun
6280	5.71	FRUIT	Food and drink	A botanical fruit that can be eaten raw used as food	Noun
425934	5.23	FRY	Food and drink	To cook in hot fat.	Verb
6040	13.21	FULL	Quantity	Containing the most or maximum amount possible in the given available space.	Adjective
1590	6.28	FUR	Clothing and grooming	The hair-covered, dressed pelt of a mammal, used in the making of garments and as trimming or decoration.	Noun
7346	8.212	FURROW	Agriculture and vegetation	The cut made in a field by a plough.	Noun
1601	8.13	GARDEN	Agriculture and vegetation	A piece of land next to a house where flowers and other plants are grown and which often has an area of grass.	Noun
1525934	7.131	GARDEN-HOUSE	The house	A small building in a garden, such as a shed, which is not usually build to be inhabitated for long times.	Noun
6430	7.22	GATE	The house	An opening, or passage in a fence or wall; the entrance through which you enter or leave a room or building.	Noun
1022541	12.21	GATHER	Spatial relations	To heap up; to collect or gather (e.g. work, magazines, etc.).	Verb
334733	11.16	GET	Possession	To get or obtain an item; to come into the possession of something.	Verb
525317	22.45	GHOST	Religion and belief	The visible disembodied soul of a dead person.	Noun
844061	3.654	GILL	Animals	The breathing organ of fish and other aquatic animals.	Noun
6752	2.26	GIRL	Kinship	A young female person, usually a child or teenager.	Noun
6059	11.21	GIVE	Possession	To transfer the possession or holding (of an object) to another person.	Verb
1160012	11.22	GIVE BACK	Possession	To transfer a good to the person or people it came from, or to their legal successors.	Verb
1656	9.74	GLASS	Basic actions and technology	A hard, amorphous, inorganic, usually transparent, brittle substance made by fusing silicates, sometimes borates and phosphates, with certain basic oxides and then rapidly cooling to prevent crystallization.	Noun
369021	6.58	GLOVE	Clothing and grooming	A garment for a hand, often extending to the wrist and sometimes up to the elbow, which either covers each finger individually, or separates the thumb from the other fingers.	Noun
46	9.56	GLUE	Basic actions and technology	Substance used for sticking objects together.	Noun
334831	10.47	GO	Motion	To move from a place to another that is further away.	Verb
480460	10.474	GO OUT	Motion	To move out of or depart from.	Verb
335553	10.471	GO UP	Motion	To ascend; to go up.	Verb
6257	3.36	GOAT	Animals	A common four-legged animal (Capra) that is related to sheep and bred by humans for its coat and milk.	Noun
871639	22.12	GOD	Religion and belief	A supernatural, typically immortal being with superior powers.	Noun
897615	4.842	GOITER	The body	Enlargement of the thyroid gland.	Noun
5912	9.64	GOLD	Basic actions and technology	A heavy yellow elemental metal of great value, with atomic number 79 and symbol Au.	Noun
443659	16.71	GOOD	Emotions and values	Having desired or positive qualities.	Adjective
336810	16.18	GOOD LUCK	Emotions and values	Something positive that happens to someone by chance.	Noun
534216	3.56	GOOSE	Animals	Waterfowl of the Anatidae family.	Noun
1526657	8.93	GOURD	Agriculture and vegetation	It is a versatile plant belonging to multiple types of plants like pumpkins, cucumbers and melons. It is probably one of the earliest domesticated plants.	Noun
1511088	19.31	GOVERN	Social and political relations	To make and administer the public policy and affairs of; to exercise sovereign authority in.	Verb
351462	23.3	GOVERNMENT	Modern world	A body that has the authority to make and the power to enforce laws within a civil, corporate, religious, academic, or other organization or group.	Noun
1674	8.42	GRAIN	Agriculture and vegetation	Edible, starchy seeds of the grass family (Graminae) usable as food by man and his livestock.	Noun
6624	2.5	GRANDCHILD	Kinship	A child of someone’s child.	Noun
6628	2.49	GRANDDAUGHTER	Kinship	A daughter of someone's child.	Noun
5953	2.46	GRANDFATHER	Kinship	The father of one of someone's parents	Noun
6247	2.47	GRANDMOTHER	Kinship	The mother of one of someone's parents.	Noun
1510376	2.4711	GRANDPARENTS	Kinship	The parents of someone's parent.	Noun
6627	2.48	GRANDSON	Kinship	A son of someone's child.	Noun
393668	5.76	GRAPE	Food and drink	A small, round, smooth-skinned edible fruit, usually purple, red, or green, that grows in bunches on certain vines.	Noun
992756	11.14	GRASP	Possession	Get the meaning of something.	Verb
1675	8.51	GRASS	Agriculture and vegetation	A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous.	Noun
1510547	6.461	GRASS-SKIRT	Clothing and grooming	A skirt made from long dried grass, or synthetic material resembling it.	Noun
1677	3.93	GRASSHOPPER	Animals	A plant-eating insect with long back legs that can jump very high and makes a sharp high noise using its back legs or wings.	Noun
7187	4.79	GRAVE	The body	A place (commonly marked with a headstone) where one or more people are buried (usually in a coffin underneath the ground).	Noun
1510501	5.791	GREASE	Food and drink	Animal fat in a melted or soft state; a semisolid lubricant.	Noun
983313	16.83	GREEDY	Emotions and values	Excessively desirous of money, wealth or possessions.	Adjective
